site_id,date,flow_cfs,qualifiers
06447500,1990-08-05,124.0,A
06447500,1990-08-06,113.0,A
06447500,1990-08-07,42.0,A
06447500,1990-08-08,22.0,A
06447500,1990-08-09,17.0,A
06447500,1990-08-10,14.0,A
06447500,1990-08-11,12.0,A
06447500,1990-08-12,11.0,A
06447500,1990-08-13,11.0,A
06447500,1990-08-14,11.0,A
06447500,1990-08-15,10.0,A
06447500,1990-08-16,9.6,A
06447500,1990-08-17,9.2,A
06447500,1990-08-18,8.9,A
06447500,1990-08-19,8.6,A
06447500,1990-08-20,8.4,A
06447500,1990-08-21,8.4,A
06447500,1990-08-22,9.3,A
06447500,1990-08-23,8.7,A
06447500,1990-08-24,8.6,A
06447500,1990-08-25,8.2,A
06447500,1990-08-26,7.8,A
06447500,1990-08-27,7.4,A
06447500,1990-08-28,7.2,A
06447500,1990-08-29,7.0,A
06447500,1990-08-30,6.9,A
06447500,1990-08-31,6.7,A
06447500,1990-09-01,6.5,A
06447500,1990-09-02,6.5,A
06447500,1990-09-03,6.3,A
06447500,1990-09-04,6.2,A
06447500,1990-09-05,6.1,A
06447500,1990-09-06,6.0,A
06447500,1990-09-07,6.0,A
06447500,1990-09-08,6.0,A
06447500,1990-09-09,6.0,A
06447500,1990-09-10,6.0,A
06447500,1990-09-11,6.0,A
06447500,1990-09-12,6.2,A
06447500,1990-09-13,6.0,A
06447500,1990-09-14,5.7,A
06447500,1990-09-15,5.7,A
06447500,1990-09-16,5.7,A
06447500,1990-09-17,5.9,A
06447500,1990-09-18,6.2,A
06447500,1990-09-19,6.6,A
06447500,1990-09-20,7.4,A
06447500,1990-09-21,7.8,A
06447500,1990-09-22,7.8,A
06447500,1990-09-23,7.8,A
06447500,1990-09-24,7.7,A
06447500,1990-09-25,7.3,A
06447500,1990-09-26,7.2,A
06447500,1990-09-27,7.1,A
06447500,1990-09-28,6.8,A
06447500,1990-09-29,6.9,A
06447500,1990-09-30,7.0,A
06447500,1990-10-01,7.0,A
06447500,1990-10-02,7.2,A
06447500,1990-10-03,7.2,A
06447500,1990-10-04,7.3,A
06447500,1990-10-05,7.5,A
06447500,1990-10-06,7.2,A
06447500,1990-10-07,7.2,A
06447500,1990-10-08,7.8,A
06447500,1990-10-09,8.7,A
06447500,1990-10-10,9.6,A
06447500,1990-10-11,9.9,A
06447500,1990-10-12,10.0,A
06447500,1990-10-13,9.7,A
06447500,1990-10-14,9.6,A
06447500,1990-10-15,9.9,A
06447500,1990-10-16,9.9,A
06447500,1990-10-17,10.0,A
06447500,1990-10-18,10.0,A
06447500,1990-10-19,11.0,A
06447500,1990-10-20,12.0,A
06447500,1990-10-21,12.0,A
06447500,1990-10-22,12.0,A
06447500,1990-10-23,12.0,A
